od,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99
"(0, 12)",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,547.2120079672574,0.1,527.2037626672053,554.4056532846438,507.22234363928453,0.1,502.14273337595415,0.1,0.1,457.7513621213373,0.1,410.2853706511477,0.1,0.1,0.1,0.1,0.1,501.34504609175207,0.1,0.1,0.1,510.83297606974867,0.1,0.1,494.89987161022793,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,504.7928669208394,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,394.15042863588275,0.1,0.1,460.1148187383514,0.1,446.5567558156533,0.1,0.1,0.1,0.1,0.1,595.0873563260252,0.1,0.1,0.1,0.1,0.1,560.691298968225,0.1,0.1,0.1,0.1,0.1,0.1,551.6406986822485,0.1,0.1,0.1,0.1,390.99220957664846,0.1,0.1,557.5093290670409,0.1,0.1,0.1,0.1,524.635722729362,0.1,0.1,0.1,0.1,0.1,545.2186926332879,426.9894542216581,0.1,0.1
"(0, 13)",0.1,199.68737814094527,0.1,0.1,0.1,331.01761516801025,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,341.9346955054625,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,337.78217789391016,0.1,0.1,0.1,0.1,0.1,233.2155431527863,0.1,0.1,0.1,0.1,291.45555069634963,0.1,0.1,0.1,323.7505125491764,0.1,0.1,301.33949445014935,0.1,0.1,0.1,0.1,193.46539164295092,374.24189293505964,0.1,295.09960733961793,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,409.7110455654206,0.1,0.1,0.1,0.1,281.2147555196567,0.1,274.17026123487744,0.1,351.3607393807942,0.1,0.1,0.1,323.06631342077765,0.1,200.79789416724702,0.1,0.1,0.1,0.1,0.1,286.97206910049255
"(0, 14)",0.1,0.1,0.1,476.85043954071034,0.1,0.1,0.1,491.6065148170064,0.1,0.1,511.72445113812563,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,488.2732893219573,478.95316470757507,475.5825749728265,567.3610258518072,0.1,0.1,0.1,512.0699099653676,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,488.0245792987889,0.1,0.1,0.1,530.9674945929421,0.1,0.1,0.1,0.1,515.6094519920784,0.1,0.1,0.1,0.1,537.0691753487636,0.1,0.1,0.1,544.3404223824615,0.1,0.1,0.1,0.1,0.1,0.1,458.9874623982948,0.1,0.1,0.1,439.2467799459189,0.1,450.7831244804352,451.2198806905317,0.1,384.0675134259035,0.1,0.1,0.1,454.4694281197998,580.2618368553768,0.1,0.1,0.1,0.1,0.1,492.18332780394996
"(0, 15)",0.1,0.1,0.1,560.4143518149203,466.95272247737125,0.1,0.1,0.1,341.84228618598456,0.1,0.1,0.1,0.1,0.1,0.1,436.87020517769224,0.1,0.1,0.1,0.1,0.1,596.5299605276155,0.1,0.1,0.1,408.7681297660682,0.1,0.1,0.1,466.06687791519846,0.1,0.1,0.1,0.1,567.9462218432575,0.1,493.47147499755323,0.1,0.1,0.1,418.42984959662067,0.1,501.5162436194635,498.97410796609716,0.1,527.5889348155163,0.1,0.1,0.1,564.4431191025619,0.1,0.1,0.1,577.8551682134715,572.7220998393235,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,556.5665857591997,477.20493692965357,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,495.16416169773004,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,552.3860602689178,515.492859629092,0.1,482.07748736534955,0.1,481.66807823998755,0.1,0.1
"(0, 16)",0.1,0.1,492.7546042788915,308.38892942614535,479.10523785739076,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,411.3741700114253,0.1,309.15413641806595,0.1,0.1,0.1,0.1,0.1,313.45970494596685,0.1,0.1,0.1,543.1538410490762,0.1,0.1,0.1,506.6396411957661,0.1,356.5087614895351,0.1,398.290501238082,0.1,398.27339493990235,351.1971111781984,0.1,0.1,0.1,0.1,0.1,0.1,416.5924426874633,0.1,0.1,0.1,410.3193333748802,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,503.989437877803,0.1,0.1,0.1,0.1,0.1,404.8543450050453,0.1,0.1,0.1,474.73985564853115,406.8682123630811,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,431.7299655926566,0.1,0.1,0.1,336.7920890052226,0.1,367.25522286734804,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"(0, 17)",88.53596536384688,0.1,0.1,108.70709080122943,0.1,0.1,0.1,100.25869812258064,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,45.16554259127015,0.1,0.1,0.1,0.1,15.794006132513019,86.07564002076728,0.1,0.1,0.1,0.1,138.23187070252007,0.1,29.80676813411752,0.1,0.1,0.1,0.1,91.5043549225309,0.1,0.1,0.1,0.1,0.1,0.1,37.26263826246976,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,170.09885129511792,0.1,191.8395995944887,0.1,0.1,0.1,44.79033977550735,0.1,0.1,0.1,85.69402788800504,0.1,0.1,0.1,0.1,0.1,37.46548343578186,0.1,0.1,0.1,158.2429300665658,0.1,75.98923653718865,0.1,0.1,0.1,0.1,96.80452914922304,0.1,162.2184719069783,0.1,0.1,0.1,77.11420890013606
"(0, 18)",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,355.4105986280506,0.1,0.1,0.1,0.1,253.42271361625012,0.1,0.1,0.1,263.04585753043494,0.1,0.1,0.1,0.1,0.1,395.1996140389205,0.1,0.1,0.1,313.12398968877295,338.9178311472513,390.5249469494116,0.1,0.1,0.1,0.1,271.9714021623386,379.92213757506636,0.1,0.1,0.1,291.3966868413121,0.1,330.78779836628763,0.1,0.1,0.1,0.1,335.2992764891683,316.3067971637357,0.1,0.1,0.1,0.1,0.1,362.5936854315066,358.4387170738667,0.1,290.4784913782668,0.1,340.04604513001965,288.10951636162184,0.1,0.1,0.1,0.1,0.1,437.5112229729218,0.1,0.1,0.1,284.4037748921761,0.1,330.6319438811089,0.1,0.1,0.1,0.1,293.85855869834865,0.1,340.05052164417197,0.1,0.1,0.1,0.1,177.39736239873048,0.1,0.1,299.4426375438917,0.1,0.1,0.1,0.1,0.1,0.1,389.89468314071587,0.1,0.1,0.1,0.1,0.1,297.3340117394832
"(0, 19)",0.1,0.1,0.1,0.1,0.1,0.1,0.1,393.8218367598365,0.1,0.1,357.07360201537017,0.1,0.1,0.1,0.1,277.5019639705142,252.83942728902588,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,378.8300337506993,0.1,0.1,0.1,0.1,0.1,0.1,0.1,265.78672388392397,0.1,0.1,379.4232382866799,247.88654529197936,365.5567728914693,308.4348131471024,0.1,230.53555063394458,0.1,264.55078519846313,0.1,0.1,0.1,0.1,0.1,0.1,243.1821715738511,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,288.00804194351747,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,283.77917193354403,0.1,0.1,0.1,0.1,0.1,291.4565598925932,0.1,289.1549733806543,0.1,0.1,0.1,0.1,0.1,0.1,298.8289252685625,0.1,230.05889490176867,0.1,294.06261906791775,255.86216407003488,351.86676327449203,0.1,0.1,0.1,0.1,0.1
"(0, 20)",0.1,0.1,0.1,0.1,0.1,38.80601435078079,0.1,0.1,0.1,0.1,0.1,78.25828866123447,0.1,0.1,112.42818276452157,0.1,0.1,56.02235394148992,0.1,0.1,0.1,0.1,0.1,174.97554464543538,0.1,102.52054221687287,76.44740033114509,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,128.62209167380567,0.1,0.1,0.1,25.511268996164944,0.1,0.1,83.80195422733435,0.1,0.1,0.1,95.93121232009503,0.1,0.1,0.1,0.1,0.1,0.1,121.03634242200123,142.38503471434007,0.1,0.1,189.13251238291346,0.1,0.1,0.1,0.1,68.38102567648066,0.1,0.1,0.1,0.1,0.1,0.1,115.94511147247314,0.1,0.1,0.1,0.1,0.1,0.1,74.36741098104828,125.4652237588522,0.1,154.74570142844354,73.22408915460491,0.1,16.461334023932807,0.1,0.1,0.1,0.1,0.1,74.09530232208297,43.0303936952668,0.1,70.19921599101124,0.1,127.92195621492371,0.1,187.80522596522565,43.63161661571095,0.1,0.1
"(0, 21)",0.1,0.1,457.1078374338822,435.85010574054854,339.570461552477,0.1,0.1,457.2254613642892,397.47073333179867,0.1,287.09697711331404,469.97797873242166,0.1,0.1,408.66608990944775,0.1,0.1,355.54304143526247,405.03351257440966,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,375.57225681157223,0.1,330.48550373895245,0.1,0.1,456.49790771348074,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,462.119322263247,0.1,424.9561439462899,452.0821990621576,0.1,0.1,0.1,463.5640819612901,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,416.3385451625058,0.1,0.1,0.1,0.1,0.1,0.1,0.1,387.17709234055144,0.1,0.1,0.1,416.2344486999787,0.1,0.1,0.1,0.1,480.8699097205468,385.7295097941356,0.1,0.1,484.2214880456245,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,283.19442801534785,0.1
"(0, 22)",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,331.4098184300882,0.1,0.1,213.6372057125683,0.1,0.1,0.1,301.6612883855771,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,162.57716889870935,0.1,0.1,0.1,0.1,0.1,0.1,382.56972185308183,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,363.18125437677134,243.86208490941965,258.85883350244785,0.1,0.1,204.63505434122976,0.1,0.1,308.0538567320513,229.3830768857365,224.48950465542958,0.1,0.1,0.1,312.316448440708,0.1,312.6349774711025,0.1,0.1,425.6107214508433,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,352.3388353965444,0.1,0.1,293.95074655211243,311.014054767033,194.9208030514228,0.1,243.35161483302673,0.1,0.1,0.1,0.1,0.1,0.1,0.1,316.5148281738851,304.5047495242288,0.1,322.51688222421626,225.1635341587516,0.1,0.1,0.1,331.4619364199332
"(0, 23)",0.1,86.72547840001874,0.1,217.02668385730948,78.78063257673753,0.1,0.1,116.87616908703109,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,155.35521006066315,95.81951988134276,0.1,0.1,0.1,1e-07,0.1,0.1,1e-07,85.5359208291847,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,153.06885193727172,0.1,61.130243384348546,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,68.25536928877025,0.1,0.1,0.1,0.1,0.1,1e-07,0.1,0.1,125.55515133866199,0.1,83.65288896449684,0.1,129.69352771375324,0.1,0.1,0.1,0.1,122.05967096259789,0.1,197.35459074505496,0.1,0.1,0.1,0.1,0.1,0.1,0.1,143.45343823065275,0.1,0.1,0.1,0.1,1e-07,0.1,0.1,143.8654858434723,0.1,0.1,174.8026184907275,0.1,0.1,80.84992492433311,0.1,62.49126815525994,0.1
"(1, 0)",125.87451581498905,123.49538993080148,35.373810856709426,100.55049628060961,4.110793452622886,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,35.786963717618846,52.32408098364316,0.1,0.1,0.1,64.0502327712891,0.1,0.1,0.1,111.89120708665581,65.17339641115245,0.1,0.1,0.1,62.47077397824501,0.1,138.23311030292734,0.1,0.1,0.1,0.1,214.64718937342735,0.1,107.59405279314016,0.1,147.7031469570557,0.1,0.1,0.1,0.1,0.1,0.1,0.1,164.95355501958875,0.1,0.1,0.1,0.1,0.1,0.1,110.40514572512302,0.1,0.1,0.1,49.55378365852789,1e-07,0.1,0.1,0.1,0.1,0.1,141.88407096136973,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1e-07,0.1,38.360624186582335,0.1,0.1,173.46545052178845,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,222.5588465732779,0.1,1e-07,1e-07,25.435702470840866,0.1,1e-07,82.22754156510265,0.1
"(1, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 2)",0.1,0.1,0.1,0.1,0.1,0.1,67.66766937982588,0.1,116.9510030746512,175.2746330403603,0.1,0.1,80.28130851132258,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,78.48941949603967,0.1,0.1,0.1,0.1,110.82769460683524,131.9557105576549,0.1,20.2105799391763,0.1,0.1,0.1,0.1,0.1,0.1,114.85628324423338,0.1,0.1,0.1,4.619456826617451,0.1,0.1,1e-07,0.1,0.1,0.1,0.1,0.1,56.895682210715634,0.1,47.53309729729419,44.03289659977797,76.46268569112718,0.1,0.1,111.34015895667554,150.38133748971967,0.1,0.1,0.1,0.1,0.1,0.1,0.1,119.50670293387934,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,219.31562727884648,0.1,0.1,0.1,0.1,172.11990876960937,0.1,0.1,140.33374244829818,0.1,7.185056624928336,0.1,0.1,0.1,0.1,0.1
